RangeKey,Center,Type,2MaxDuration,3P50Duaration,P95Duration,TotalCount,ApprovedCount,ApprovedLast7Days,Approved Last14Days,ApprovedLast28Days
2190080000 - 2190084999,EAC_LB,I-751,610,610,610,6,1,0,1,1
2290000000 - 2290004999,EAC_LB,I-539,465,255,396,822,578,0,0,0
2290000000 - 2290004999,EAC_LB,I-765,532,279,525,346,181,0,1,1
2290005000 - 2290009999,EAC_LB,I-539,496,227,381,769,503,0,0,1
2290005000 - 2290009999,EAC_LB,I-765,427,233,415,326,183,0,0,0
2290010000 - 2290014999,EAC_LB,I-131,400,309,390,10,4,0,0,0
2290010000 - 2290014999,EAC_LB,I-539,454,210,322,717,513,0,0,0
2290010000 - 2290014999,EAC_LB,I-765,483,224,322,484,329,0,0,1
2290015000 - 2290019999,EAC_LB,I-131,299,299,299,12,6,0,0,0
2290015000 - 2290019999,EAC_LB,I-539,410,207,303,748,508,0,0,0
2190080000 - 2190084999,EAC_LB,I-751,610,610,610,6,1,0,1,1
2290000000 - 2290004999,EAC_LB,I-539,465,255,396,822,578,0,0,0
2290000000 - 2290004999,EAC_LB,I-765,532,279,525,346,181,0,1,1
2290005000 - 2290009999,EAC_LB,I-539,496,227,381,769,503,0,0,1
2290005000 - 2290009999,EAC_LB,I-765,427,233,415,326,183,0,0,0
2290010000 - 2290014999,EAC_LB,I-131,400,309,390,10,4,0,0,0
2290010000 - 2290014999,EAC_LB,I-539,454,210,322,717,513,0,0,0
2290010000 - 2290014999,EAC_LB,I-765,483,224,322,484,329,0,0,1
2290015000 - 2290019999,EAC_LB,I-131,299,299,299,12,6,0,0,0
2290015000 - 2290019999,EAC_LB,I-539,410,207,303,748,508,0,0,0
2190080000 - 2190084999,EAC_LB,I-751,610,610,610,6,1,0,1,1
2290000000 - 2290004999,EAC_LB,I-539,465,255,396,822,578,0,0,0
2290000000 - 2290004999,EAC_LB,I-765,532,279,525,346,181,0,1,1
2290005000 - 2290009999,EAC_LB,I-539,496,227,381,769,503,0,0,1
2290005000 - 2290009999,EAC_LB,I-765,427,233,415,326,183,0,0,0
2290010000 - 2290014999,EAC_LB,I-131,400,309,390,10,4,0,0,0
2290010000 - 2290014999,EAC_LB,I-539,454,210,322,717,513,0,0,0
2290010000 - 2290014999,EAC_LB,I-765,483,224,322,484,329,0,0,1
2290015000 - 2290019999,EAC_LB,I-131,299,299,299,12,6,0,0,0
2290015000 - 2290019999,EAC_LB,I-539,410,207,303,748,508,0,0,0
2190080000 - 2190084999,EAC_LB,I-751,610,610,610,6,1,0,1,1
2290000000 - 2290004999,EAC_LB,I-539,465,255,396,822,578,0,0,0
2290000000 - 2290004999,EAC_LB,I-765,532,279,525,346,181,0,1,1
2290005000 - 2290009999,EAC_LB,I-539,496,227,381,769,503,0,0,1
2290005000 - 2290009999,EAC_LB,I-765,427,233,415,326,183,0,0,0
2290010000 - 2290014999,EAC_LB,I-131,400,309,390,10,4,0,0,0
2290010000 - 2290014999,EAC_LB,I-539,454,210,322,717,513,0,0,0
2290010000 - 2290014999,EAC_LB,I-765,483,224,322,484,329,0,0,1
2290015000 - 2290019999,EAC_LB,I-131,299,299,299,12,6,0,0,0
2290015000 - 2290019999,EAC_LB,I-539,410,207,303,748,508,0,0,0
2190080000 - 2190084999,EAC_LB,I-751,610,610,610,6,1,0,1,1
2290000000 - 2290004999,EAC_LB,I-539,465,255,396,822,578,0,0,0
2290000000 - 2290004999,EAC_LB,I-765,532,279,525,346,181,0,1,1
2290005000 - 2290009999,EAC_LB,I-539,496,227,381,769,503,0,0,1
2290005000 - 2290009999,EAC_LB,I-765,427,233,415,326,183,0,0,0
2290010000 - 2290014999,EAC_LB,I-131,400,309,390,10,4,0,0,0
2290010000 - 2290014999,EAC_LB,I-539,454,210,322,717,513,0,0,0
2290010000 - 2290014999,EAC_LB,I-765,483,224,322,484,329,0,0,1
2290015000 - 2290019999,EAC_LB,I-131,299,299,299,12,6,0,0,0
2290015000 - 2290019999,EAC_LB,I-539,410,207,303,748,508,0,0,0
2190080000 - 2190084999,EAC_LB,I-751,610,610,610,6,1,0,1,1
2290000000 - 2290004999,EAC_LB,I-539,465,255,396,822,578,0,0,0
2290000000 - 2290004999,EAC_LB,I-765,532,279,525,346,181,0,1,1
2290005000 - 2290009999,EAC_LB,I-539,496,227,381,769,503,0,0,1
2290005000 - 2290009999,EAC_LB,I-765,427,233,415,326,183,0,0,0
2290010000 - 2290014999,EAC_LB,I-131,400,309,390,10,4,0,0,0
2290010000 - 2290014999,EAC_LB,I-539,454,210,322,717,513,0,0,0
2290010000 - 2290014999,EAC_LB,I-765,483,224,322,484,329,0,0,1
2290015000 - 2290019999,EAC_LB,I-131,299,299,299,12,6,0,0,0
2290015000 - 2290019999,EAC_LB,I-539,410,207,303,748,508,0,0,0
2190080000 - 2190084999,EAC_LB,I-751,610,610,610,6,1,0,1,1
2290000000 - 2290004999,EAC_LB,I-539,465,255,396,822,578,0,0,0
2290000000 - 2290004999,EAC_LB,I-765,532,279,525,346,181,0,1,1
2290005000 - 2290009999,EAC_LB,I-539,496,227,381,769,503,0,0,1
2290005000 - 2290009999,EAC_LB,I-765,427,233,415,326,183,0,0,0
2290010000 - 2290014999,EAC_LB,I-131,400,309,390,10,4,0,0,0
2290010000 - 2290014999,EAC_LB,I-539,454,210,322,717,513,0,0,0
2290010000 - 2290014999,EAC_LB,I-765,483,224,322,484,329,0,0,1
2290015000 - 2290019999,EAC_LB,I-131,299,299,299,12,6,0,0,0
2290015000 - 2290019999,EAC_LB,I-539,410,207,303,748,508,0,0,0
0910125000 - 0910129999,IOE,I-90,570,438,532,24,8,0,0,0
0910130000 - 0910134999,IOE,I-130,755,635,734,84,7,0,0,0
